,Pclass,Sex,Fare,Embarked,IsAlone,Title,Survived
129,3,1,0,1,1.0,1,0
130,3,1,0,0,1.0,1,0
131,3,1,0,1,1.0,1,0
132,3,0,2,1,0.0,3,0
133,2,0,2,1,0.0,3,1
134,2,1,1,1,1.0,1,0
135,2,1,2,0,1.0,1,0
136,1,0,2,1,0.0,2,1
137,1,1,3,1,0.0,1,0
138,3,1,1,1,1.0,1,0
139,1,1,3,0,1.0,1,0
140,3,0,2,0,0.0,3,0
141,3,0,0,1,1.0,2,1
142,3,0,2,1,0.0,3,1
143,3,1,0,2,1.0,1,0
144,2,1,1,1,1.0,1,0
145,2,1,3,1,0.0,1,0
146,3,1,0,1,1.0,1,1
147,3,0,3,1,0.0,2,0
148,2,1,2,1,0.0,1,0
149,2,1,1,1,1.0,5,0
150,2,1,1,1,1.0,5,0
151,1,0,3,1,0.0,3,1
152,3,1,1,1,1.0,1,0
153,3,1,2,1,0.0,1,0
154,3,1,0,1,1.0,1,0
155,1,1,3,0,0.0,1,0
156,3,0,0,2,1.0,2,1
157,3,1,1,1,1.0,1,0
158,3,1,1,1,1.0,1,0
159,3,1,3,1,0.0,4,0
160,3,1,2,1,0.0,1,0
161,2,0,2,1,1.0,3,1
162,3,1,0,1,1.0,1,0
163,3,1,1,1,1.0,1,0
164,3,1,3,1,0.0,4,0
165,3,1,2,1,0.0,4,1
166,1,0,3,1,0.0,3,1
167,3,0,2,1,0.0,3,0
168,1,1,2,1,1.0,1,0
169,3,1,3,1,1.0,1,0
170,1,1,3,1,1.0,1,0
171,3,1,2,2,0.0,4,0
172,3,0,1,1,0.0,2,1
173,3,1,1,1,1.0,1,0
174,1,1,2,0,1.0,1,0
175,3,1,0,1,0.0,1,0
176,3,1,2,1,0.0,4,0
177,1,0,2,0,1.0,2,0
178,2,1,1,1,1.0,1,0
179,3,1,0,1,1.0,1,0
180,3,0,3,1,0.0,2,0
181,2,1,2,0,1.0,1,0
182,3,1,3,1,0.0,4,0
183,2,1,3,1,0.0,4,1
184,3,0,2,1,0.0,2,1
185,1,1,3,1,1.0,1,0
186,3,0,2,2,0.0,3,1
187,1,1,2,1,1.0,1,1
188,3,1,2,2,0.0,1,0
189,3,1,0,1,1.0,1,0
190,2,0,1,1,1.0,3,1
191,2,1,1,1,1.0,1,0
192,3,0,0,1,0.0,2,1
193,2,1,2,1,0.0,4,1
194,1,0,2,0,1.0,3,1
195,1,0,3,0,1.0,2,1
196,3,1,0,2,1.0,1,0
197,3,1,1,1,0.0,1,0
198,3,0,0,2,1.0,2,1
199,2,0,1,1,1.0,2,0
200,3,1,1,1,1.0,1,0
201,3,1,3,1,0.0,1,0
202,3,1,0,1,1.0,1,0
203,3,1,0,0,1.0,1,0
204,3,1,1,1,1.0,1,1
205,3,0,1,1,0.0,2,0
206,3,1,2,1,0.0,1,0
207,3,1,2,0,1.0,1,1
208,3,0,0,2,1.0,2,1
209,1,1,2,0,1.0,1,1
210,3,1,0,1,1.0,1,0
211,2,0,2,1,1.0,2,1
212,3,1,0,1,1.0,1,0
213,2,1,1,1,1.0,1,0
214,3,1,0,2,0.0,1,0
215,1,0,3,0,0.0,2,1
216,3,0,1,1,1.0,2,1
217,2,1,2,1,0.0,1,0
218,1,0,3,0,1.0,2,1
219,2,1,1,1,1.0,1,0
220,3,1,1,1,1.0,1,1
221,2,1,1,1,1.0,1,0
222,3,1,1,1,1.0,1,0
223,3,1,0,1,1.0,1,0
224,1,1,3,1,0.0,1,1
225,3,1,1,1,1.0,1,0
226,2,1,1,1,1.0,1,1
227,3,1,0,1,1.0,1,0
228,2,1,1,1,1.0,1,0
229,3,0,2,1,0.0,2,0
230,1,0,3,1,0.0,3,1
231,3,1,0,1,1.0,1,0
232,2,1,1,1,1.0,1,0
233,3,0,3,1,0.0,2,1
234,2,1,1,1,1.0,1,0
235,3,0,0,1,1.0,2,0
236,2,1,2,1,0.0,1,0
237,2,0,2,1,0.0,2,1
238,2,1,1,1,1.0,1,0
239,2,1,1,1,1.0,1,0
240,3,0,2,0,0.0,2,0
241,3,0,2,2,0.0,2,1
242,2,1,1,1,1.0,1,0
243,3,1,0,1,1.0,1,0
244,3,1,0,0,1.0,1,0
245,1,1,3,2,0.0,5,0
246,3,0,0,1,1.0,2,0
247,2,0,2,1,0.0,3,1
248,1,1,3,1,0.0,1,1
249,2,1,2,1,0.0,5,0
250,3,1,0,1,1.0,1,0
251,3,0,1,1,0.0,3,0
252,1,1,2,1,1.0,1,0
253,3,1,2,1,0.0,1,0
254,3,0,2,1,0.0,3,0
255,3,0,2,0,0.0,3,1
256,1,0,3,0,1.0,3,1
257,1,0,3,1,1.0,2,1
258,1,0,3,0,1.0,2,1
259,2,0,2,1,0.0,3,1
260,3,1,0,2,1.0,1,0
261,3,1,3,1,0.0,4,1
262,1,1,3,1,0.0,1,0
263,1,1,0,1,1.0,1,0
264,3,0,0,2,1.0,2,0
265,2,1,1,1,1.0,1,0
266,3,1,3,1,0.0,1,0
267,3,1,0,1,0.0,1,1
268,1,0,3,1,0.0,3,1
269,1,0,3,1,1.0,2,1
270,1,1,2,1,1.0,1,0
271,3,1,0,1,1.0,1,1
272,2,0,2,1,0.0,3,1
273,1,1,2,0,0.0,1,0
274,3,0,0,2,1.0,2,1
275,1,0,3,1,0.0,2,1
276,3,0,0,1,1.0,2,0
277,2,1,0,1,1.0,1,0
278,3,1,2,2,0.0,4,0
279,3,0,2,1,0.0,3,1
280,3,1,0,2,1.0,1,0
281,3,1,0,1,1.0,1,0
282,3,1,1,1,1.0,1,0
283,3,1,1,1,1.0,1,1
284,1,1,2,1,1.0,1,0
285,3,1,1,0,1.0,1,0
286,3,1,1,1,1.0,1,1
287,3,1,0,1,1.0,1,0
288,2,1,1,1,1.0,1,1
289,3,0,0,2,1.0,2,1
290,1,0,3,1,1.0,2,1
291,1,0,3,0,0.0,3,1
292,2,1,1,0,1.0,1,0
293,3,0,1,1,1.0,2,0
294,3,1,0,1,1.0,1,0
295,1,1,2,0,1.0,1,0
296,3,1,0,0,1.0,1,0
297,1,0,3,1,0.0,2,0
298,1,1,2,1,1.0,1,1
299,1,0,3,0,0.0,3,1
300,3,0,0,2,1.0,2,1
301,3,1,2,2,0.0,1,1
302,3,1,0,1,1.0,1,0
303,2,0,1,2,1.0,2,1
304,3,1,1,1,1.0,1,0
305,1,1,3,1,0.0,4,1
306,1,0,3,0,1.0,2,1
307,1,0,3,0,0.0,3,1
308,2,1,2,0,0.0,1,0
309,1,0,3,0,1.0,2,1
310,1,0,3,0,1.0,2,1
311,1,0,3,0,0.0,2,1
312,2,0,2,1,0.0,3,0
313,3,1,0,1,1.0,1,0
314,2,1,2,1,0.0,1,0
315,3,0,0,1,1.0,2,1
316,2,0,2,1,0.0,3,1
317,2,1,1,1,1.0,5,0
318,1,0,3,1,0.0,2,1
319,1,0,3,0,0.0,3,1
320,3,1,0,1,1.0,1,0
321,3,1,0,1,1.0,1,0
322,2,0,1,2,1.0,2,1
323,2,0,2,1,0.0,3,1
324,3,1,3,1,0.0,1,0
325,1,0,3,0,1.0,2,1
326,3,1,0,1,1.0,1,0
327,2,0,1,1,1.0,3,1
328,3,0,2,1,0.0,3,1
329,1,0,3,0,0.0,2,1
330,3,0,2,2,0.0,2,1
331,1,1,2,1,1.0,1,0
332,1,1,3,1,0.0,1,0
333,3,1,2,1,0.0,1,0
334,1,0,3,1,0.0,3,1
335,3,1,0,1,1.0,1,0
336,1,1,3,1,0.0,1,0
337,1,0,3,0,1.0,2,1
338,3,1,1,1,1.0,1,1
339,1,1,3,1,1.0,1,0
340,2,1,2,1,0.0,4,1
341,1,0,3,1,0.0,2,1
342,2,1,1,1,1.0,1,0
343,2,1,1,1,1.0,1,0
344,2,1,1,1,1.0,1,0
345,2,0,1,1,1.0,2,1
346,2,0,1,1,1.0,2,1
347,3,0,2,1,0.0,3,1
348,3,1,2,1,0.0,4,1
349,3,1,1,1,1.0,1,0
350,3,1,1,1,1.0,1,0
351,1,1,3,1,1.0,1,0
352,3,1,0,0,0.0,1,0
353,3,1,2,1,0.0,1,0
354,3,1,0,0,1.0,1,0
355,3,1,1,1,1.0,1,0
356,1,0,3,1,0.0,2,1
357,2,0,1,1,1.0,2,0
358,3,0,0,2,1.0,2,1
359,3,0,0,2,1.0,2,1
360,3,1,2,1,0.0,1,0
361,2,1,2,0,0.0,1,0
362,3,0,2,0,0.0,3,0
363,3,1,0,1,1.0,1,0
364,3,1,2,2,0.0,1,0
365,3,1,0,1,1.0,1,0
366,1,0,3,0,0.0,3,1
367,3,0,0,0,1.0,3,1
368,3,0,0,2,1.0,2,1
369,1,0,3,0,1.0,3,1
370,1,1,3,0,0.0,1,1
371,3,1,0,1,0.0,1,0
372,3,1,1,1,1.0,1,0
373,1,1,3,0,1.0,1,0
374,3,0,2,1,0.0,2,0
375,1,0,3,0,0.0,3,1
376,3,0,0,1,1.0,2,1
377,1,1,3,0,0.0,1,0
378,3,1,0,0,1.0,1,0
379,3,1,0,1,1.0,1,0
380,1,0,3,0,1.0,2,1
381,3,0,2,0,0.0,2,1
382,3,1,1,1,1.0,1,0
383,1,0,3,1,0.0,3,1
384,3,1,0,1,1.0,1,0
385,2,1,3,1,1.0,1,0
386,3,1,3,1,0.0,4,0
387,2,0,1,1,1.0,2,1
388,3,1,0,2,1.0,1,0
389,2,0,1,0,1.0,2,1
390,1,1,3,1,0.0,1,1
391,3,1,0,1,1.0,1,1
392,3,1,1,1,0.0,1,0
393,1,0,3,0,0.0,2,1
394,3,0,2,1,0.0,3,1
395,3,1,0,1,1.0,1,0
396,3,0,0,1,1.0,2,0
397,2,1,2,1,1.0,1,0
398,2,1,1,1,1.0,5,0
399,2,0,1,1,1.0,3,1
400,3,1,1,1,1.0,1,1
401,3,1,1,1,1.0,1,0
402,3,0,1,1,0.0,2,0
403,3,1,2,1,0.0,1,0
404,3,0,1,1,1.0,2,0
405,2,1,2,1,0.0,1,0
406,3,1,0,1,1.0,1,0
407,2,1,2,1,0.0,4,1
408,3,1,0,1,1.0,1,0
409,3,0,2,1,0.0,2,0
410,3,1,0,1,1.0,1,0
411,3,1,0,2,1.0,1,0
412,1,0,3,2,0.0,2,1
413,2,1,0,1,1.0,1,0
414,3,1,1,1,1.0,1,1
415,3,0,1,1,1.0,3,0
416,2,0,3,1,0.0,3,1
417,2,0,1,1,0.0,2,1
418,2,1,1,1,1.0,1,0
419,3,0,2,1,0.0,2,0
420,3,1,0,0,1.0,1,0
421,3,1,0,2,1.0,1,0
422,3,1,0,1,1.0,1,0
423,3,0,1,1,0.0,3,0
424,3,1,2,1,0.0,1,0
425,3,1,0,1,1.0,1,0
426,2,0,2,1,0.0,3,1
427,2,0,2,1,1.0,2,1
428,3,1,0,2,1.0,1,0
429,3,1,1,1,1.0,1,1
430,1,1,2,1,1.0,1,1
431,3,0,2,1,0.0,3,1
432,2,0,2,1,0.0,3,1
433,3,1,0,1,1.0,1,0
434,1,1,3,1,0.0,1,0
435,1,0,3,1,0.0,2,1
436,3,0,3,1,0.0,2,0
437,2,0,2,1,0.0,3,1
438,1,1,3,1,0.0,1,0
439,2,1,1,1,1.0,1,0
440,2,0,2,1,0.0,3,1
441,3,1,1,1,1.0,1,0
442,3,1,0,1,0.0,1,0
443,2,0,1,1,1.0,2,1
444,3,1,1,1,1.0,1,1
445,1,1,3,1,0.0,4,1
446,2,0,2,1,0.0,2,1
447,1,1,2,1,1.0,1,1
448,3,0,2,0,0.0,2,1
449,1,1,2,1,1.0,5,1
450,2,1,2,1,0.0,1,0
451,3,1,2,1,0.0,1,0
452,1,1,2,0,1.0,1,0
453,1,1,3,0,0.0,1,1
454,3,1,1,1,1.0,1,0
455,3,1,0,0,1.0,1,1
456,1,1,2,1,1.0,1,0
457,1,0,3,1,0.0,3,1
458,2,0,1,1,1.0,2,1
459,3,1,0,2,1.0,1,0
460,1,1,2,1,1.0,1,1
461,3,1,1,1,1.0,1,0
462,1,1,3,1,1.0,1,0
463,2,1,1,1,1.0,1,0
464,3,1,1,1,1.0,1,0
465,3,1,0,1,1.0,1,0
466,2,1,0,1,1.0,1,0
467,1,1,2,1,1.0,1,0
468,3,1,0,2,1.0,1,0
469,3,0,2,0,0.0,2,1
470,3,1,0,1,1.0,1,0
471,3,1,1,1,1.0,1,0
472,2,0,2,1,0.0,3,1
473,2,0,1,0,1.0,3,1
474,3,0,1,1,1.0,2,0
475,1,1,3,1,1.0,1,0
476,2,1,2,1,0.0,1,0
477,3,1,0,1,0.0,1,0
478,3,1,0,1,1.0,1,0
479,3,0,1,1,0.0,2,1
480,3,1,3,1,0.0,4,0
481,2,1,0,1,1.0,1,0
482,3,1,1,1,1.0,1,0
483,3,0,1,1,1.0,3,1
484,1,1,3,0,0.0,1,1
485,3,0,2,1,0.0,2,0
486,1,0,3,1,0.0,3,1
487,1,1,2,0,1.0,1,0
488,3,1,1,1,1.0,1,0
489,3,1,2,1,0.0,4,1
490,3,1,2,1,0.0,1,0
491,3,1,0,1,1.0,1,0
492,1,1,2,1,1.0,1,0
493,1,1,3,0,1.0,1,0
494,3,1,1,1,1.0,1,0
495,3,1,2,0,1.0,1,0
496,1,0,3,0,0.0,2,1
497,3,1,2,1,1.0,1,0
498,1,0,3,1,0.0,3,0
499,3,1,0,1,1.0,1,0
500,3,1,1,1,1.0,1,0
501,3,0,0,2,1.0,2,0
502,3,0,0,2,1.0,2,0
503,3,0,1,1,1.0,2,0
504,1,0,3,1,1.0,2,1
505,1,1,3,0,0.0,1,0
506,2,0,2,1,0.0,3,1
507,1,1,2,1,1.0,1,1
508,3,1,2,1,1.0,1,0
509,3,1,3,1,1.0,1,1
510,3,1,0,2,1.0,1,1
511,3,1,1,1,1.0,1,0
512,1,1,2,1,1.0,1,1
513,1,0,3,0,0.0,3,1
514,3,1,0,1,1.0,1,0
515,1,1,3,1,1.0,1,0
516,2,0,1,1,1.0,3,1
517,3,1,2,2,1.0,1,0
518,2,0,2,1,0.0,3,1
519,3,1,0,1,1.0,1,0
520,1,0,3,1,1.0,2,1
521,3,1,0,1,1.0,1,0
522,3,1,0,0,1.0,1,0
523,1,0,3,0,0.0,3,1
524,3,1,0,0,1.0,1,0
525,3,1,0,2,1.0,1,0
526,2,0,1,1,1.0,2,1
527,1,1,3,1,1.0,1,0
528,3,1,1,1,1.0,1,0
529,2,1,1,1,0.0,1,0
530,2,0,2,1,0.0,2,1
531,3,1,0,0,1.0,1,0
532,3,1,0,0,0.0,1,0
533,3,0,2,0,0.0,3,1
534,3,0,1,1,1.0,2,0
535,2,0,2,1,0.0,2,1
536,1,1,2,1,1.0,5,0
537,1,0,3,0,1.0,2,1
538,3,1,2,1,1.0,1,0
539,1,0,3,0,0.0,2,1
540,1,0,3,1,0.0,2,1
541,3,0,3,1,0.0,2,0
542,3,0,3,1,0.0,2,0
543,2,1,2,1,0.0,1,1
544,1,1,3,0,0.0,1,0
545,1,1,2,1,1.0,1,0
546,2,0,2,1,0.0,3,1
547,2,1,1,0,1.0,1,1
548,3,1,2,1,0.0,1,0
549,2,1,3,1,0.0,4,1
550,1,1,3,0,0.0,1,1
551,2,1,2,1,1.0,1,0
552,3,1,0,2,1.0,1,0
553,3,1,0,0,1.0,1,1
554,3,0,0,1,1.0,2,1
555,1,1,2,1,1.0,1,0
556,1,0,3,0,0.0,5,1
557,1,1,3,0,1.0,1,0
558,1,0,3,1,0.0,3,1
559,3,0,2,1,0.0,3,1
560,3,1,0,2,1.0,1,0
561,3,1,0,1,1.0,1,0
562,2,1,1,1,1.0,1,0
563,3,1,1,1,1.0,1,0
564,3,0,1,1,1.0,2,0
565,3,1,2,1,0.0,1,0
566,3,1,0,1,1.0,1,0
567,3,0,2,1,0.0,3,0
568,3,1,0,0,1.0,1,0
569,3,1,0,1,1.0,1,1
570,2,1,1,1,1.0,1,1
571,1,0,3,1,0.0,3,1
572,1,1,2,1,1.0,1,1
573,3,0,0,2,1.0,2,1
574,3,1,1,1,1.0,1,0
575,3,1,2,1,1.0,1,0
576,2,0,1,1,1.0,2,1
577,1,0,3,1,0.0,3,1
578,3,0,2,0,0.0,3,0
579,3,1,1,1,1.0,1,1
580,2,0,2,1,0.0,2,1
581,1,0,3,0,0.0,3,1
582,2,1,2,1,1.0,1,0
583,1,1,3,0,1.0,1,0
584,3,1,1,0,1.0,1,0
585,1,0,3,1,0.0,2,1
586,2,1,2,1,1.0,1,0
587,1,1,3,0,0.0,1,1
588,3,1,1,1,1.0,1,0
589,3,1,1,1,1.0,1,0
590,3,1,0,1,1.0,1,0
591,1,0,3,0,0.0,3,1
592,3,1,0,1,1.0,1,0
593,3,0,0,2,0.0,2,0
594,2,1,2,1,0.0,1,0
595,3,1,2,1,0.0,1,0
596,2,0,3,1,1.0,2,1
597,3,1,0,1,1.0,1,0
598,3,1,0,0,1.0,1,0
599,1,1,3,0,0.0,5,1
600,2,0,2,1,0.0,3,1
601,3,1,0,1,1.0,1,0
602,1,1,3,1,1.0,1,0
603,3,1,1,1,1.0,1,0
604,1,1,2,0,1.0,1,1
605,3,1,2,1,0.0,1,0
606,3,1,0,1,1.0,1,0
607,1,1,2,1,1.0,1,1
608,2,0,3,0,0.0,3,1
609,1,0,3,1,1.0,2,1
610,3,0,3,1,0.0,3,0
611,3,1,0,1,1.0,1,0
612,3,0,2,2,0.0,2,1
613,3,1,0,2,1.0,1,0
614,3,1,1,1,1.0,1,0
615,2,0,3,1,0.0,2,1
616,3,1,1,1,0.0,1,0
617,3,0,2,1,0.0,3,0
618,2,0,3,1,0.0,2,1
619,2,1,1,1,1.0,1,0
620,3,1,2,0,0.0,1,0
621,1,1,3,1,0.0,1,1
622,3,1,2,0,0.0,1,1
623,3,1,0,1,1.0,1,0
624,3,1,2,1,1.0,1,0
625,1,1,3,1,1.0,1,0
626,2,1,1,2,1.0,5,0
627,1,0,3,1,1.0,2,1
628,3,1,0,1,1.0,1,0
629,3,1,0,2,1.0,1,0
630,1,1,2,1,1.0,1,1
631,3,1,0,1,1.0,1,0
632,1,1,2,0,1.0,5,1
633,1,1,0,1,1.0,1,0
634,3,0,2,1,0.0,2,0
635,2,0,1,1,1.0,2,1
636,3,1,1,1,1.0,1,0
637,2,1,2,1,0.0,1,0
638,3,0,3,1,0.0,3,0
639,3,1,2,1,0.0,1,0
640,3,1,0,1,1.0,1,0
641,1,0,3,0,1.0,5,1
642,3,0,2,1,0.0,2,0
643,3,1,3,1,1.0,1,1
644,3,0,2,0,0.0,2,1
645,1,1,3,0,0.0,1,1
646,3,1,0,1,1.0,1,0
647,1,1,3,0,1.0,5,1
648,3,1,0,1,1.0,1,0
649,3,0,0,1,1.0,2,1
650,3,1,0,1,1.0,1,0
651,2,0,2,1,0.0,2,1
652,3,1,1,1,1.0,1,0
653,3,0,0,2,1.0,2,1
654,3,0,0,2,1.0,2,0
655,2,1,3,1,0.0,1,0
656,3,1,0,1,1.0,1,0
657,3,0,2,2,0.0,3,0
658,2,1,1,1,1.0,1,0
659,1,1,3,0,0.0,1,0
660,1,1,3,1,0.0,5,1
661,3,1,0,0,1.0,1,0
662,1,1,2,1,1.0,1,0
663,3,1,0,1,1.0,1,0
664,3,1,1,1,0.0,1,1
665,2,1,3,1,0.0,1,0
666,2,1,1,1,1.0,1,0
667,3,1,0,1,1.0,1,0
668,3,1,1,1,1.0,1,0
669,1,0,3,1,0.0,3,1
670,2,0,3,1,0.0,3,1
671,1,1,3,1,0.0,1,0
672,2,1,1,1,1.0,1,0
673,2,1,1,1,1.0,1,1
674,2,1,0,1,1.0,1,0
675,3,1,0,1,1.0,1,0
676,3,1,1,1,1.0,1,0
677,3,0,1,1,1.0,2,1
678,3,0,3,1,0.0,3,0
679,1,1,3,0,0.0,1,1
680,3,0,1,2,1.0,2,0
681,1,1,3,0,1.0,1,1
682,3,1,1,1,1.0,1,0
683,3,1,3,1,0.0,1,0
684,2,1,3,1,0.0,1,0
685,2,1,3,0,0.0,1,0
686,3,1,3,1,0.0,1,0
687,3,1,1,1,1.0,1,0
688,3,1,0,1,1.0,1,0
689,1,0,3,1,0.0,2,1
690,1,1,3,1,0.0,1,1
691,3,0,1,0,0.0,2,1
692,3,1,3,1,1.0,1,1
693,3,1,0,0,1.0,1,0
694,1,1,2,1,1.0,5,0
695,2,1,1,1,1.0,1,0
696,3,1,1,1,1.0,1,0
697,3,0,0,2,1.0,2,1
698,1,1,3,0,0.0,1,0
699,3,1,0,1,1.0,1,0
700,1,0,3,0,0.0,3,1
701,1,1,2,1,1.0,1,1
702,3,0,2,0,0.0,2,0
703,3,1,0,2,1.0,1,0
704,3,1,0,1,0.0,1,0
705,2,1,2,1,1.0,1,0
706,2,0,1,1,1.0,3,1
707,1,1,2,1,1.0,1,1
708,1,0,3,1,1.0,2,1
709,3,1,2,0,0.0,4,1
710,1,0,3,0,1.0,5,1
711,1,1,2,1,1.0,1,0
712,1,1,3,1,0.0,1,1
713,3,1,1,1,1.0,1,0
714,2,1,1,1,1.0,1,0
715,3,1,0,1,1.0,1,0
716,1,0,3,0,1.0,2,1
717,2,0,1,1,1.0,2,1
718,3,1,2,2,1.0,1,0
719,3,1,0,1,1.0,1,0
720,2,0,3,1,0.0,2,1
721,3,1,0,1,0.0,1,0
722,2,1,1,1,1.0,1,0
723,2,1,1,1,1.0,1,0
724,1,1,3,1,0.0,1,1
725,3,1,1,1,1.0,1,0
726,2,0,2,1,0.0,3,1
727,3,0,0,2,1.0,2,1
728,2,1,2,1,0.0,1,0
729,3,0,1,1,0.0,2,0
730,1,0,3,1,1.0,2,1
731,3,1,2,0,1.0,1,0
732,2,1,0,1,1.0,1,0
733,2,1,1,1,1.0,1,0
734,2,1,1,1,1.0,1,0
735,3,1,2,1,1.0,1,0
736,3,0,3,1,0.0,3,0
737,1,1,3,0,1.0,1,1
738,3,1,0,1,1.0,1,0
739,3,1,0,1,1.0,1,0
740,1,1,2,1,1.0,1,1
741,1,1,3,1,0.0,1,0
742,1,0,3,0,0.0,2,1
743,3,1,2,1,0.0,1,0
744,3,1,1,1,1.0,1,1
745,1,1,3,1,0.0,5,0
746,3,1,2,1,0.0,1,0
747,2,0,1,1,1.0,2,1
748,1,1,3,1,0.0,1,0
749,3,1,0,2,1.0,1,0
750,2,0,2,1,0.0,2,1
751,3,1,1,1,0.0,4,1
752,3,1,1,1,1.0,1,0
753,3,1,0,1,1.0,1,0
754,2,0,3,1,0.0,3,1
755,2,1,2,1,0.0,4,1
756,3,1,0,1,1.0,1,0
757,2,1,1,1,1.0,1,0
758,3,1,1,1,1.0,1,0
759,1,0,3,1,1.0,5,1
760,3,1,2,1,1.0,1,0
761,3,1,0,1,1.0,1,0
762,3,1,0,0,1.0,1,1
763,1,0,3,1,0.0,3,1
764,3,1,0,1,1.0,1,0
765,1,0,3,1,0.0,3,1
766,1,1,3,0,1.0,5,0
767,3,0,0,2,1.0,2,0
768,3,1,2,2,0.0,1,0
769,3,1,1,1,1.0,1,0
770,3,1,1,1,1.0,1,0
771,3,1,0,1,1.0,1,0
772,2,0,1,1,1.0,3,0
773,3,1,0,0,1.0,1,0
